year,social,migration,gsouth,survey,quant,mortality,fertility,dtrans,fam,devel,biodemog,theory,articles
1994,0.1396612575,0.0331167667339,0.0333526682065,0.0394169505305,0.282867545247,0.0563653771447,0.121017712613,0.0504565260826,0.16999331564,0.0299315462071,0.0108637404183,0.0329565936771,1190
1995,0.174928983941,0.045499765701,0.0255617424999,0.0413678404652,0.280229393894,0.0544574430384,0.121818041127,0.035559659075,0.150454393003,0.0330152756573,0.00484450288132,0.0322629587167,1170
1996,0.18138557401,0.0474240901765,0.0192142307461,0.031537109942,0.271752907425,0.0671793623783,0.104510627405,0.0272728280341,0.15672647672,0.0468796024739,0.0133799078249,0.0327372828637,1240
1997,0.18574679339,0.042427465508,0.0319740327181,0.0366022711215,0.279003382406,0.0755029915238,0.100720624472,0.0233271863164,0.139215581698,0.0439966441616,0.0135378092858,0.0279452173988,1290
1998,0.178879211638,0.0389145306984,0.0294025004635,0.0361644975562,0.28813034277,0.0951429168295,0.0861053490256,0.0194299087117,0.160584056908,0.0316773235078,0.0165387454028,0.0190306164887,1270
1999,0.196471443693,0.0333211647466,0.0439478212536,0.0502293092638,0.286789084869,0.094623145174,0.0825309609427,0.0128205856388,0.158196435957,0.0196439088741,0.00692657098546,0.014499568602,1270
2000,0.194448894269,0.0615374191218,0.0402556426797,0.0393607811616,0.2723196959,0.114297160805,0.090096307027,0.0198902168381,0.111694166596,0.0165966934954,0.0205071355003,0.0189958866061,1270
2001,0.198693471463,0.0636491216589,0.0554122710753,0.0303484298967,0.283596482383,0.100775517838,0.0906025456901,0.0239431709594,0.0967712575123,0.0182675570131,0.0181241965706,0.0198159779396,1260
2002,0.18557610171,0.0632114770629,0.0621466819419,0.0175324701515,0.295299434963,0.0864912805344,0.0909155702093,0.0323846033081,0.109465368236,0.0196504206252,0.0166905217765,0.0206360694815,1210
2003,0.209480763786,0.0533206609164,0.0652985805948,0.0249678413532,0.292681559484,0.0863681192001,0.0824059788297,0.0237261382547,0.127797297837,0.0181574534613,0.00182472256879,0.013970883714,1160
2004,0.209545394384,0.0592921545926,0.0586098579814,0.0244180718477,0.29280659465,0.105767778029,0.0652357717277,0.0220748527464,0.127003630786,0.0179099177345,0.00325633202391,0.0140796434964,1140
2005,0.215421385207,0.0563727152725,0.0436390546461,0.0235665050806,0.28380828592,0.11042474315,0.0599238751606,0.0221232351397,0.148599388481,0.0156580303067,0.00710172178879,0.0133610598467,1140
2006,0.195930220178,0.0565674328242,0.0371214463406,0.0280969255549,0.285166831698,0.11852130939,0.0643154777849,0.0246803546134,0.147575796473,0.0163621047683,0.0117162622787,0.0139458380953,1250
2007,0.188092463333,0.0508562588519,0.0368391273732,0.0358916870268,0.288370233201,0.112952310815,0.0716406685681,0.0312267354631,0.145153100296,0.0187119167796,0.00998313675224,0.0102823615396,1340
2008,0.187035604885,0.0526429684213,0.0323724751568,0.0383043698055,0.30670380693,0.129955618836,0.0723913846552,0.03172262994,0.112479821217,0.0183686903357,0.00878528286834,0.0092373469494,1400
2009,0.172937212265,0.0366791330384,0.0432873191618,0.0294761098718,0.305068605586,0.158554994901,0.0606058364904,0.0335111771125,0.105876479235,0.0305502993994,0.0132489020879,0.0102039308516,1540
