source,target,scount,tcount,weight
John Finley Scott,,1,,0
Ralph H. Turner,,2,,0
Alan F. Blum,Peter McHugh,1,1,1
Desmond S. Cartwright,,2,,0
Daniel N. Gordon,,1,,0
James R. Wood,,1,,0
Arthur G. Neal,Melvin Seeman,3,3,1
Barclay D. Johnson,,1,,0
Amitai Etzioni,,2,,0
Leonard I. Pearlin,Melvin L. Kohn,1,4,1
James Curtis,,1,,0
William A. Rushing,,1,,0
Charles E. Bowerman,Glen H. Elder Jr.,1,3,1
M. Joseph Smucker,William A. Faunce,1,1,1
Colin J. Williams,Martin S. Weinberg,1,1,1
Robert F. Winch,Scott Greer,2,1,1
Rae Lesser Blumberg,Robert F. Winch,1,2,1
Rae Lesser Blumberg,Scott Greer,1,1,1
Michael A. Faia,,1,,0
Sanford I. Labovitz,,1,,0
David Knoke,,1,,0
J. Eugene Haas,Thomas E. Drabek,2,1,1
Jerry S. Cloyd,,2,,0
LaMar T. Empey,Steven G. Lubeck,1,1,1
Harvey Molotch,,1,,0
Lionel Tiger,,1,,0
Leon R. Jansyn Jr.,,1,,0
Lolagene Coombs,Ronald Freedman,1,1,1
Robert Lejeune,Stephen Cole,1,3,1
David O. Smith,Desmond S. Cartwright,1,2,1
Ronald Akers,,1,,0
Guy E. Swanson,,1,,0
Hart M. Nelsen,Raytha L. Yokley,1,1,1
Hart M. Nelsen,Thomas W. Madron,1,1,1
Raytha L. Yokley,Thomas W. Madron,1,1,1
Alejandro Portes,,3,,0
Joseph Lopreato,Letitia Alston,5,1,1
Joseph W. Scott,Mohamed El-Assal,2,1,1
B. F. Meeker,,1,,0
Bruce P. Dohrenwend,,2,,0
Ronald W. Maris,,1,,0
John Henry Freeman,,1,,0
Robert Price,,1,,0
Amos H. Hawley,Walter Boland,2,1,1
Amos H. Hawley,Margaret Boland,2,1,1
Margaret Boland,Walter Boland,1,1,1
Yonina Talmon,,1,,0
Arthur H. Richardson,Elmer L. Struening,1,1,1
Henry Winthrop,,1,,0
Mary R. Jackman,Robert W. Jackman,4,1,1
Edward O. Laumann,,4,,0
Anthony R. Oberschall,Paul F. Lazarsfeld,1,1,1
Glen G. Cain,Harold W. Watts,1,1,1
Paul Eckstein,,1,,0
Joan Rytina,William H. Form,1,3,1
Stephan Thernstrom,,1,,0
Frank R. Westie,,1,,0
Gerhard E. Lenski,,1,,0
Stephen Black,,1,,0
Charles F. Westoff,Raymond H. Potvin,1,1,1
Herbert L. Costner,,2,,0
Harley L. Browning,Jack P. Gibbs,2,5,1
David F. Sly,,2,,0
Clark McPhail,David Miller,2,1,1
Francesca M. Cancian,,1,,0
William Petersen,,1,,0
Jack P. Gibbs,Leonard Broom,5,3,1
Robert E. Kennedy Jr.,,1,,0
Ephraim Yuchtman,,2,,0
Hans-Dieter Evers,,1,,0
Marc Pilisuk,Robert Perrucci,1,2,1
Walter Korpi,,1,,0
Jack Ladinsky,,2,,0
Harold Fallding,,1,,0
Harriet Zuckerman,,1,,0
John Brewer,,1,,0
Daya Krishna,,1,,0
Melvin L. Kohn,,4,,0
J. Milton Yinger,Kiyoshi Ikeda,1,2,1
Frank Laycock,J. Milton Yinger,1,1,1
Frank Laycock,Kiyoshi Ikeda,1,2,1
James L. Heap,Phillip A. Roth,1,1,1
Murray L. Wax,,1,,0
Arthur G. Neal,H. Theodore Groat,3,1,1
Marjorie Fiske Lowenthal,,2,,0
Talcott Parsons,,2,,0
Eugene Litwak,Ivan Szelenyi,1,1,1
Leonard Gordon,,1,,0
Calvin F. Schmid,Maurice Donald Van Arsdol,2,1,1
Calvin F. Schmid,Earle H. MacCannell,2,1,1
Earle H. MacCannell,Maurice Donald Van Arsdol,1,1,1
Gerry E. Hendershot,Thomas F. James,1,2,1
Robert Edward Mitchell,,1,,0
Clark McPhail,,2,,0
Rodney Stark,,3,,0
Elizabeth M. Havens,,1,,0
Hanan C. Selvin,Warren O. Hagstrom,1,1,1
Vimal P. Shah,William H. Sewell,1,7,1
Richard A. Berk,,2,,0
K. I. MacDonald,,1,,0
Milton J. Brawer,Peter Y. De Jong,4,1,1
Stephen Turner,,1,,0
Gwynn Nettler,,1,,0
H. Laurence Ross,,1,,0
Andrew J. Weigert,Darwin L. Thomas,1,2,1
George A. Hillery Jr.,,1,,0
Robert E. Lane,,1,,0
Donald C. Pelz,Frank M. Andrews,1,1,1
Edward Gross,,2,,0
Mark Lefton,William R. Rosengren,1,1,1
Don Gray,,1,,0
James Wilkins,,1,,0
Harold L. Wilensky,,2,,0
Elton F. Jackson,Peter J. Burke,5,2,1
Peter M. Blau,Wolf V. Heydebrand,4,1,1
Peter M. Blau,Robert E. Stauffer,4,1,1
Robert E. Stauffer,Wolf V. Heydebrand,1,1,1
Angela Lane,,1,,0
Bernard C. Rosen,,1,,0
Louis N. Gray,Maximilian H. vonBroembsen,2,1,1
Pitirim A. Sorokin,,1,,0
Fred H. Goldner,,1,,0
Gudmund Hernes,,1,,0
Gosta Carlsson,Katarina Karlsson,1,1,1
David Willer,Judith Willer,2,1,1
Donald G. Schweitzer,Sybil Schweitzer,1,1,1
J. Michael Armer,William H. Sewell,1,7,1
Morton O. Wagenfeld,R. Jay Turner,1,1,1
Bernard P. Cohen,Joseph Berger,1,1,1
Joseph Berger,Morris Zelditch Jr.,1,1,1
Bernard P. Cohen,Morris Zelditch Jr.,1,1,1
Ronald Maris,,1,,0
James Frideres,K. W. Taylor,1,1,1
James F. O'Connor,Stanley Lieberson,1,4,1
Charles F. Cannell,Floyd J. Fowler Jr.,1,1,1
Harley L. Browning,Sally C. Lopreato,2,1,1
Dudley L. Poston Jr.,Harley L. Browning,1,2,1
Dudley L. Poston Jr.,Sally C. Lopreato,1,1,1
Joseph W. Scott,,2,,0
Kiyoshi Ikeda,Richard Lempert,2,1,1
David L. Featherman,Robert M. Hauser,4,1,1
Edward O. Laumann,Franz Urban Pappi,4,1,1
Derek L. Phillips,,4,,0
