source,target,scount,tcount,weight
Donald W. Helbig,Rowland V. Rider,1,1,1
Habib R. Siddiqui,Samuel B. Hopkins,1,1,1
Habib R. Siddiqui,Paul A. Harper,1,1,1
Habib R. Siddiqui,Rowland V. Rider,1,1,1
Paul A. Harper,Samuel B. Hopkins,1,1,1
Rowland V. Rider,Samuel B. Hopkins,1,1,1
Paul A. Harper,Rowland V. Rider,1,1,1
K. Venkatacharya,,2,,0
Jack Harewood,,1,,0
S. N. Singh,T. Bhaduri,1,1,1
O. Andrew Collver,,1,,0
Karl E. Taeuber,,2,,0
Gordon F. De Jong,,2,,0
Gordon F. De Jong,William F. Stinner,2,1,1
Alfred A. Hunter,,1,,0
Susan Hill Cochrane,,1,,0
John E. Stoeckel,Moqbul A. Choudhury,1,1,1
Jay R. Mandle,,1,,0
George Masnick,,1,,0
Leroy O. Stone,,2,,0
C. R. Malaker,,1,,0
Etienne van de Walle,,2,,0
Allan Schnaiberg,,1,,0
Franklin D. Wilson,Larry Bumpass,1,4,1
Thomas O. Wilkinson,,1,,0
H. T. Croley,S. Z. Haider,2,1,1
H. T. Croley,Sultana Begum,2,1,1
S. Z. Haider,Sultana Begum,1,1,1
Harold C. Gustafson,S. Z. Haider,2,1,1
Harold C. Gustafson,Sultana Begum,2,1,1
Michael J. Greenwood,Patrick J. Gormely,2,1,1
Ann R. Miller,,2,,0
Joseph Waksberg,,1,,0
Nicholas H. Wright,,1,,0
Elizabeth Murphy Whelan,,1,,0
D. K. Tyagi,Frank Wilder,1,1,1
G. Stephan Masnick,Robert G. Potter,2,3,2
George E. Immerwahr,M. Alfred Haynes,2,1,1
Aleyamma George,M. Alfred Haynes,1,1,1
M. Alfred Haynes,P. S. J. Nayar,1,1,1
Aleyamma George,George E. Immerwahr,1,2,1
George E. Immerwahr,P. S. J. Nayar,2,1,1
Aleyamma George,P. S. J. Nayar,1,1,1
Murray Gendell,,3,,0
Evelyn M. Kitagawa,Philip M. Hauser,2,1,1
John D. Kasarda,,1,,0
Tore Schweder,,1,,0
J. William Leasure,Robert A. Lewis,1,1,1
Amos H. Hawley,,3,,0
Chia-lin Pan,,1,,0
Alvaro Lopez,,2,,0
Marshall L. Turner Jr.,,1,,0
Thomas P. Monahan,,1,,0
Jack Reynolds,,1,,0
James D. Tarver,Patrick M. Skees,4,1,1
Patrick M. Skees,William R. Gurley,1,2,1
Alice M. Rivlin,John C. Beresford,2,2,1
Hernάn Mendoza-Hoyos,,1,,0
W. Parker Mauldin,,1,,0
John Y. Takeshita,Ronald Freedman,1,4,1
Deborah S. Freedman,,1,,0
Calvin F. Schmid,Kiyoshi Tagashira,2,1,1
Judah Matras,,2,,0
Maria Nydia Maraviglia,Murray Gendell,1,3,1
Murray Gendell,Philip C. Kreitner,3,1,1
Maria Nydia Maraviglia,Philip C. Kreitner,1,1,1
Arjun Adlakha,,1,,0
Basil G. Zimmer,Calvin Goldscheider,1,2,1
Larry Bumpass,,4,,0
John P. Bongaarts,William D. O'Neill,1,1,1
Daniel O. Price,,1,,0
Zdenε̌k Vάvra,,1,,0
Emilio Casetti,,1,,0
Frank L. Sweetser,,1,,0
D. C. Mehta,,1,,0
Monroe G. Sirken,,2,,0
S. Chandrasekhar,,1,,0
Andrέe Michel,,1,,0
Pravin M. Visaria,,1,,0
E. M. Murphy,,1,,0
N. Keyfitz,,1,,0
Conrad Taeuber,Morris H. Hansen,2,2,2
J. Richard Udry,Naomi M. Morris,3,1,1
Bhaskar D. Misra,Donald J. Bogue,1,5,1
D. P. Dandekar,Donald J. Bogue,1,5,1
Bhaskar D. Misra,D. P. Dandekar,1,1,1
Donald J. Bogue,Edmund M. Murphy,5,2,1
Henry S. Shryock Jr.,Meyer Zitter,1,2,1
Georges Sabagh,Monroe G. Sirken,3,2,1
Suddhendu Biswas,,1,,0
Norman B. Ryder,,2,,0
George F. Brown,Warren G. Povey,2,1,1
Lyle Saunders,Oscar Harkavy,2,1,1
Anna L. Southam,Oscar Harkavy,1,1,1
Anna L. Southam,Lyle Saunders,1,2,1
Janice Weinman,Ruth Fabricant,1,1,1
M. V. George,Victor Piche,2,1,1
John C. Hudson,,1,,0
Prithwis Das Gupta,,3,,0
Anrudh K. Jain,T. C. Hsu,2,1,1
Anrudh K. Jain,Ronald Freedman,2,4,1
Anrudh K. Jain,M. C. Chang,2,1,1
Ronald Freedman,T. C. Hsu,4,1,1
M. C. Chang,T. C. Hsu,1,1,1
